============================================================
Total IDs     : 19417
Done IDs      : 83
Remaining IDs : 19334
Base domain   : www.glamira.com
Fallbacks     : 16
Concurrency   : 10
============================================================
[404] 100187 -> www.glamira.com
[404] 108643 -> www.glamira.com
[404] 80356 -> www.glamira.com
[404] 102230 -> www.glamira.com
[404] 106963 -> www.glamira.com
[404] 102127 -> www.glamira.com
[OK] 103561 -> www.glamira.com
[404] 99139 -> www.glamira.com
[404] 91736 -> www.glamira.com
[OK] 90883 -> www.glamira.com
[404] 100187 -> www.glamira.co.uk
[404] 108643 -> www.glamira.co.uk
[404] 80356 -> www.glamira.co.uk
[404] 99139 -> www.glamira.co.uk
[404] 102230 -> www.glamira.co.uk
[404] 106963 -> www.glamira.co.uk
[404] 102127 -> www.glamira.co.uk
[404] 91736 -> www.glamira.co.uk
[OK] 96029 -> www.glamira.com
[OK] 99923 -> www.glamira.com
[404] 100187 -> www.glamira.com.au
[404] 108643 -> www.glamira.com.au
[404] 99139 -> www.glamira.com.au
[404] 102230 -> www.glamira.com.au
[404] 102127 -> www.glamira.com.au
[404] 106963 -> www.glamira.com.au
[404] 91736 -> www.glamira.com.au
[404] 80356 -> www.glamira.com.au
[404] 100187 -> www.glamira.ca
[404] 108643 -> www.glamira.ca
[404] 102127 -> www.glamira.ca
[404] 91736 -> www.glamira.ca
[404] 99139 -> www.glamira.ca
[OK] 92696 -> www.glamira.com
[404] 102230 -> www.glamira.ca
[404] 106963 -> www.glamira.ca
[OK] 110475 -> www.glamira.com
[404] 80356 -> www.glamira.ca
[404] 100187 -> www.glamira.ie
[404] 102127 -> www.glamira.ie
[404] 99139 -> www.glamira.ie
[404] 102230 -> www.glamira.ie
[404] 108643 -> www.glamira.ie
[404] 91736 -> www.glamira.ie
[404] 106963 -> www.glamira.ie
[404] 80356 -> www.glamira.ie
[404] 91736 -> www.glamira.co.nz
[404] 102127 -> www.glamira.co.nz
[404] 100187 -> www.glamira.co.nz
[404] 108643 -> www.glamira.co.nz
[404] 99139 -> www.glamira.co.nz
[OK] 96874 -> www.glamira.com
[404] 91736 -> www.glamira.sg
[404] 102127 -> www.glamira.sg
[404] 99139 -> www.glamira.sg
[OK] 90771 -> www.glamira.com
[404] 102230 -> www.glamira.co.nz
[404] 100187 -> www.glamira.sg
[404] 108643 -> www.glamira.sg
[404] 106963 -> www.glamira.co.nz
[404] 80356 -> www.glamira.co.nz
